artist,song,rank,year,streams,daily
The Weeknd,Blinding Lights,1,2020,4435516074,1799251
Glass Animals,Heat Waves,2,2020,3116508927,1251533
Dua Lipa,Levitating,3,2020,2142676882,821736
The Weeknd,Save Your Tears,4,2020,2088546257,1151569
Bad Bunny,DÁKITI,5,2020,2039800872,705878
BTS,Dynamite,6,2020,1922017109,542401
Lauv,I Like Me Better,7,2020,1828679473,488313
Conan Gray,Heather,8,2020,1760840776,885518
Ava Max,Sweet but Psycho,9,2020,1719691914,500883
Powfu,death bed (coffee for your head),10,2020,1702147437,505388